mouse,lesion,DAPI_count,total_host_count,B220_count,CD4_count,CD8_count,area,nonrep_tb,rep_tb,total_tb,B220_percent,CD4_percent,CD8_percent,Other_percent,B220_prop,CD4_prop,CD8_prop,DAPI_prop,DAPI_count_500,total_host_count_500,B220_count_500,CD4_count_500,CD8_count_500,RS_index,log_rep_tb,log_nonrep_tb,log_total_tb,log_RS_index,log_RS_prop,RS_prop,Vaccination,Timepoint
BCG17,L01,5164,6608,356,644,463,462334.5821,428,30,458,5.387409201,9.745762712,7.006658596,78.14769976,0.053874092,0.097457627,0.070066586,0.781476998,10.328,13.216,0.712,1.288,0.926,4.858172479,3.433987204,6.061456919,6.12905021,5.254662107,0.560280482,0.065502183,BCG,D114
BCG17,L02,6719,10526,1589,1471,847,585634.7926,426,37,463,15.09595288,13.97491925,8.046741402,63.83241497,0.150959529,0.139749192,0.080467414,0.63832415,13.438,21.052,3.178,2.942,1.694,3.820408039,3.63758616,6.056784013,6.139884552,3.503225081,0.592451882,0.079913607,BCG,D114
BCG17,L03,7485,13128,2948,1920,987,662423.3339,429,42,471,22.45581962,14.62522852,7.518281536,57.01553931,0.224558196,0.146252285,0.075182815,0.570155393,14.97,26.256,5.896,3.84,1.974,3.51248386,3.761200116,6.063785209,6.156978986,2.909053677,0.610884027,0.089171975,BCG,D114
BCG18,L01,7633,11341,2208,953,555,648579.386,712,87,799,19.46918261,8.403139053,4.893748347,67.30447051,0.194691826,0.084031391,0.048937483,0.673044705,15.266,22.682,4.416,1.906,1.11,8.608642798,4.477336814,6.56948142,6.684611728,4.017108052,0.669797588,0.108886108,BCG,D114
BCG18,L02,3938,5009,356,378,355,275313.9177,183,1,184,7.107207027,7.54641645,7.087242963,78.61848672,0.07107207,0.075464165,0.07087243,0.786184867,7.876,10.018,0.712,0.756,0.71,0.200731579,0.693147181,5.214935758,5.220355825,1.385241751,0.132777765,0.005434783,BCG,D114
BCG18,L03,7717,9551,453,764,636,607542.0285,226,25,251,4.742958852,7.999162391,6.658988588,80.79782222,0.047429589,0.079991624,0.066589886,0.807978222,15.434,19.102,0.906,1.528,1.272,2.907076403,3.258096538,5.424950017,5.529429088,3.476959684,0.589228379,0.099601594,BCG,D114
BCG18,L04,1808,2817,545,238,251,152368.3387,169,16,185,19.34682286,8.448704295,8.910188143,64.18175364,0.193468229,0.084487043,0.089101881,0.641817536,3.616,5.634,1.09,0.476,0.502,6.217533866,2.833213344,5.135798437,5.225746674,10.23370311,0.542164311,0.086486486,BCG,D114
BCG18,L05,4603,6222,539,613,470,339572.1461,348,42,390,8.662809386,9.852137576,7.553841209,73.97942784,0.086628094,0.098521376,0.075538412,0.739794278,9.206,12.444,1.078,1.226,0.94,7.564925348,3.761200116,5.855071922,5.96870756,6.162323603,0.630153191,0.107692308,BCG,D114
BCG18,L06,9857,14384,2678,1051,843,724032.6482,511,52,563,18.61790879,7.3067297,5.860678532,68.52753059,0.186179088,0.073067297,0.058606785,0.685275306,19.714,28.768,5.356,2.102,1.686,3.983007865,3.970291914,6.238324625,6.335054251,2.803013134,0.626717903,0.092362345,BCG,D114
BCG18,L07,1952,2959,545,286,210,160516.5385,54,3,57,18.41838459,9.665427509,7.096992227,65.96823251,0.184183846,0.096654275,0.070969922,0.659682325,3.904,5.918,1.09,0.572,0.42,1.070181368,1.386294361,4.007333185,4.060443011,4.747100849,0.341414559,0.052631579,BCG,D114
